Accession,GOids,GOterms,Score,Signal Peptide,Mitochondrion Transit Peptide,Chloroplast Transit Peptide,Transmembrane Alpha Helix,Transmembrane Beta Strand,GPI-anchor
KAI7836553.1,GO:0005739,C:mitochondrion,0.8,,1-57,,,,
KAI7836555.1,GO:0005739,C:mitochondrion,0.83,,1-30,,,,
KAI7836571.1,GO:0005886,C:plasma membrane,0.98,,,,20-45;82-104;111-131;136-160;170-191;201-220;281-303;317-338;344-367;382-407;419-440;448-467,,
KAI7836580.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7836581.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7836601.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7836602.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7836603.1,GO:0005739,C:mitochondrion,0.83,,1-33,,,,
KAI7836606.1,GO:0009535,C:chloroplast thylakoid membrane,0.86,,,1-35,172-190,,
KAI7836607.1,GO:0012505,C:endomembrane system,0.98,,,,2-29;381-396,,
KAI7836612.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7836613.1,GO:0031090,C:organelle membrane,0.71,,,,110-127;327-338,,
KAI7836621.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7836622.1,GO:0005886,C:plasma membrane,0.88,1-22,,,277-294;497-508;534-548,,
KAI7836625.1,GO:0005739,C:mitochondrion,0.84,,1-30,,,,
KAI7836632.1,GO:0005886,C:plasma membrane,0.94,,,,597-621;745-756;779-797,,
KAI7836640.1,GO:0005615,C:extracellular space,0.71,,,,,,
KAI7836645.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7836665.1,GO:0005615,C:extracellular space,0.92,1-28,,,,,
KAI7836674.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7836675.1,GO:0005737,C:cytoplasm,1.0,,,,,,
KAI7836677.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7836678.1,GO:0009543,C:chloroplast thylakoid lumen,0.84,,,1-46,,,
KAI7836685.1,GO:0005739,C:mitochondrion,0.87,,1-31,,,,
KAI7836688.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7836701.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7836703.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7836709.1,GO:0005615,C:extracellular space,0.95,,,,,,
KAI7836711.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7836713.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7836723.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7836726.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7836736.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7836740.1,GO:0009507,C:chloroplast,1.0,,,,,,
KAI7836743.1,GO:0009507,C:chloroplast,0.87,,,,,,
KAI7836746.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7836755.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7836759.1,GO:0031966,C:mitochondrial membrane,0.84,,1-35,,180-203,,
KAI7836768.1,GO:0009707,C:chloroplast outer membrane,0.79,,,1-32,205-220,,
KAI7836772.1,GO:0009507,C:chloroplast,0.97,,,,,,
KAI7836781.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7836785.1,GO:0005886,C:plasma membrane,0.82,,,,51-77;382-398;447-473;849-863;883-905,,
KAI7836794.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7836807.1,GO:0031090,C:organelle membrane,0.88,,,,588-601,,
KAI7836814.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7836818.1,GO:0012505,C:endomembrane system,0.69,,,,269-280;373-391;393-408;420-444;519-548;588-615;686-702;708-731;740-763;765-776,,
KAI7836819.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7836838.1,GO:0005615,C:extracellular space,1.0,1-24,,,,,
KAI7836843.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7836847.1,GO:0005886,C:plasma membrane,0.64,,,,228-255;353-367;417-428;440-453;533-544,,
KAI7836851.1,GO:0012505,C:endomembrane system,0.89,,,,297-313;343-362,,
KAI7836861.1,GO:0005739,C:mitochondrion,0.91,,1-40,,,,
KAI7836863.1,GO:0005739,C:mitochondrion,0.85,,1-32,,,,
KAI7836873.1,GO:0005886,C:plasma membrane,0.93,,,,483-514,,
KAI7836876.1,GO:0009507,C:chloroplast,1.0,,,,,,
KAI7836889.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7836894.1,GO:0031966,C:mitochondrial membrane,0.88,,1-32,,42-63,,
KAI7836902.1,GO:0012505,C:endomembrane system,0.69,,,,131-147,,
KAI7836906.1,GO:0005737,C:cytoplasm,0.63,,,,,,
KAI7836907.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7836923.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7836927.1,GO:0009535,C:chloroplast thylakoid membrane,0.72,,,1-36,53-71,,
KAI7836929.1,GO:0005886,C:plasma membrane,0.89,,,,198-218,,
KAI7836935.1,GO:0031090,C:organelle membrane,0.99,,,,35-51;133-153;206-217;239-257;305-322,,
KAI7836942.1,GO:0005739,C:mitochondrion,0.55,,1-28,,,,
KAI7836944.1,GO:0009707,C:chloroplast outer membrane,0.81,,,1-33,123-141,,
KAI7836946.1,GO:0005886,C:plasma membrane,0.94,,,,557-568;667-678,,
KAI7836950.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7836957.1,GO:0005886,C:plasma membrane,0.76,,,,611-632,,
KAI7836959.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7836973.1,GO:0009507,C:chloroplast,1.0,,,,,,
KAI7836974.1,GO:0009507,C:chloroplast,1.0,,,,,,
KAI7836975.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7836976.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7836981.1,GO:0031090,C:organelle membrane,0.73,,,,12-29;195-215;229-255,,
KAI7836988.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7836992.1,GO:0009707,C:chloroplast outer membrane,0.79,,,1-55,344-355,,
KAI7836995.1,GO:0005615,C:extracellular space,0.96,1-29,,,,,
KAI7837008.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7837013.1,GO:0009543,C:chloroplast thylakoid lumen,0.82,,,1-75,,,
KAI7837014.1,GO:0012505,C:endomembrane system,0.89,,,,9-29;36-57;69-92;102-125;142-165;254-284;306-325;337-365;407-432,,
KAI7837048.1,GO:0009535,C:chloroplast thylakoid membrane,0.84,,,1-25,78-89,,
KAI7837049.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7837050.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7837057.1,GO:0009707,C:chloroplast outer membrane,0.93,,,1-40,178-189,,
KAI7837064.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7837068.1,GO:0009507,C:chloroplast,1.0,,,,,,
KAI7837073.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7837077.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7837081.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7837089.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7837093.1,GO:0012505,C:endomembrane system,0.73,,,,2-20;163-176,,
KAI7837094.1,GO:0005739,C:mitochondrion,0.92,,1-80,,,,
KAI7837105.1,GO:0005739,C:mitochondrion,0.97,,1-44,,,,
KAI7837110.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7837113.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7837115.1,GO:0009543,C:chloroplast thylakoid lumen,0.84,,,1-60,,,
KAI7837122.1,GO:0005739,C:mitochondrion,0.55,,1-43,,,,
KAI7837126.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7837138.1,GO:0031966,C:mitochondrial membrane,0.81,,1-151,,165-196;201-219;224-240;258-283;306-327;355-373;381-401;409-429;449-470;472-485;492-510;532-557,,
KAI7837147.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7837150.1,GO:0009535,C:chloroplast thylakoid membrane,0.87,,,1-62,376-394,,
KAI7837151.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7837152.1,GO:0005615,C:extracellular space,0.99,1-23,,,,,
KAI7837153.1,GO:0005615,C:extracellular space,0.99,1-23,,,,,
KAI7837180.1,GO:0009507,C:chloroplast,0.7,,,,,,
KAI7837191.1,GO:0009535,C:chloroplast thylakoid membrane,0.71,,,1-35,145-162,,
KAI7837194.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7837215.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7837224.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7837227.1,GO:0009543,C:chloroplast thylakoid lumen,0.81,,,1-59,,,
KAI7837229.1,GO:0031090,C:organelle membrane,0.86,,,,161-173;322-333,,
KAI7837241.1,GO:0005886,C:plasma membrane,0.65,1-23,,,48-67;350-361,,
KAI7837251.1,GO:0009707,C:chloroplast outer membrane,0.65,,,1-43,82-93,,
KAI7837256.1,GO:0009507,C:chloroplast,0.7,,,,,,
KAI7837257.1,GO:0009507,C:chloroplast,0.67,,,,,,
KAI7837259.1,GO:0009507,C:chloroplast,0.82,,,,,,
KAI7837262.1,GO:0005739,C:mitochondrion,0.57,,1-12,,,,
KAI7837271.1,GO:0005886,C:plasma membrane,0.76,,,,72-90,,
KAI7837276.1,GO:0012505,C:endomembrane system,0.83,,,,29-48;59-79;115-139;145-165;179-211,,
KAI7837277.1,GO:0005886,C:plasma membrane,0.84,,,,737-748,,
KAI7837279.1,GO:0012505,C:endomembrane system,0.98,,,,244-277;318-338;363-377;412-433;450-474;547-561;564-585;598-622;634-653,,
KAI7837290.1,GO:0012505,C:endomembrane system,0.69,,,,251-268;279-294,,
KAI7837291.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7837295.1,GO:0009507,C:chloroplast,1.0,,,,,,
KAI7837304.1,GO:0005739,C:mitochondrion,0.64,,1-43,,,,
KAI7837306.1,GO:0005739,C:mitochondrion,0.93,,1-32,,,,
KAI7837314.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7837320.1,GO:0031966,C:mitochondrial membrane,0.74,,1-25,,123-145;173-194;206-230;253-277;286-311;326-350;364-395;441-466;473-495;505-529,,
KAI7837330.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7837331.1,GO:0012505,C:endomembrane system,0.98,,,,2-20;339-368;495-512,,
KAI7837335.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7837339.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7837343.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7837353.1,GO:0012505,C:endomembrane system,0.84,,,,7-31;48-65;67-89;171-187;196-219,,
KAI7837354.1,GO:0005739,C:mitochondrion,0.81,,1-39,,,,
KAI7837357.1,GO:0005737,C:cytoplasm,0.87,,,,,,
KAI7837358.1,GO:0005737,C:cytoplasm,0.86,,,,,,
KAI7837371.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7837374.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7837378.1,GO:0009507,C:chloroplast,1.0,,,,,,
KAI7837383.1,GO:0005886,C:plasma membrane,0.97,,,,2678-2696;3272-3283;3295-3308;3318-3331,,
KAI7837385.1,GO:0005739,C:mitochondrion,0.59,,1-34,,,,
KAI7837386.1,GO:0005886,C:plasma membrane,0.52,,,,700-723,,
KAI7837397.1,GO:0031966,C:mitochondrial membrane,0.74,,1-33,,334-353,,
KAI7837398.1,GO:0031090,C:organelle membrane,0.82,,,,71-95;110-135;153-179;205-227;230-264;266-296;298-309,,
KAI7837412.1,GO:0009707,C:chloroplast outer membrane,0.84,,,1-44,511-529,,
KAI7837420.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7837438.1,GO:0005739,C:mitochondrion,0.85,,1-46,,,,
KAI7837439.1,GO:0009507,C:chloroplast,1.0,,,,,,
KAI7837440.1,GO:0005886,C:plasma membrane,0.8,,,,343-354,,
KAI7837446.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7837450.1,GO:0009535,C:chloroplast thylakoid membrane,0.77,,,1-75,278-294,,
KAI7837454.1,GO:0009507,C:chloroplast,1.0,,,,,,
KAI7837467.1,GO:0031090,C:organelle membrane,0.71,,,,223-234;536-554,,
KAI7837472.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7837479.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7837480.1,GO:0009507,C:chloroplast,1.0,,,,,,
KAI7837493.1,GO:0009707,C:chloroplast outer membrane,0.79,,,1-61,384-395,,
KAI7837513.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7837523.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7837525.1,GO:0012505,C:endomembrane system,0.98,,,,4-26;400-411;413-424;555-574,,
KAI7837531.1,GO:0005886,C:plasma membrane,0.8,,,,77-95;128-147;153-175;198-209;330-341;513-531,,
KAI7837532.1,GO:0005886,C:plasma membrane,0.79,,,,80-96;154-177;198-209;483-501,,
KAI7837538.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7837539.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7837558.1,GO:0009707,C:chloroplast outer membrane,0.71,,,1-39,82-99;372-383;514-528,,
KAI7837566.1,GO:0005615,C:extracellular space,1.0,1-22,,,,,
KAI7837580.1,GO:0005737,C:cytoplasm,1.0,,,,,,
KAI7837581.1,GO:0012505,C:endomembrane system,0.81,,,,802-816,,
KAI7837584.1,GO:0009707,C:chloroplast outer membrane,0.8,,,1-48,263-274,,
KAI7837586.1,GO:0031090,C:organelle membrane,0.75,,,,8-26;307-318,,
KAI7837590.1,GO:0012505,C:endomembrane system,0.8,,,,4-22,,
KAI7837592.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7837599.1,GO:0031966,C:mitochondrial membrane,0.7,,1-21,,266-287,,
KAI7837600.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7837603.1,GO:0005615,C:extracellular space,0.87,,,,,,
KAI7837604.1,GO:0009507,C:chloroplast,1.0,,,,,,
KAI7837605.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7837614.1,GO:0009507,C:chloroplast,1.0,,,,,,
KAI7837615.1,GO:0012505,C:endomembrane system,0.75,,,,369-386;575-586,,
KAI7837616.1,GO:0012505,C:endomembrane system,0.91,,,,41-64;210-221;470-501;514-541;550-573;579-605;640-664;801-815,,
KAI7837618.1,GO:0005886,C:plasma membrane,0.85,,,,620-631;765-778,,
KAI7837624.1,GO:0005737,C:cytoplasm,0.64,,,,,,
KAI7837625.1,GO:0005737,C:cytoplasm,0.66,,,,,,
KAI7837626.1,GO:0005737,C:cytoplasm,0.71,,,,,,
KAI7837636.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7837637.1,GO:0012505,C:endomembrane system,0.97,,,,213-226,,
KAI7837638.1,GO:0012505,C:endomembrane system,0.97,,,,213-224,,
KAI7837639.1,GO:0009507,C:chloroplast,1.0,,,,,,
KAI7837648.1,GO:0005886,C:plasma membrane,0.96,,,,81-102,,
KAI7837659.1,GO:0005886,C:plasma membrane,0.87,,,,111-127,,
KAI7837666.1,GO:0009707,C:chloroplast outer membrane,0.76,,,1-56,659-670,,
KAI7837667.1,GO:0009707,C:chloroplast outer membrane,0.75,,,1-56,651-662,,
KAI7837673.1,GO:0031090,C:organelle membrane,0.91,,,,20-31;33-44,,
KAI7837674.1,GO:0031090,C:organelle membrane,0.81,,,,8-36;159-177,,
KAI7837675.1,GO:0005739,C:mitochondrion,0.8,,1-21,,,,
KAI7837687.1,GO:0009707,C:chloroplast outer membrane,0.73,,,1-67,528-544,,
KAI7837688.1,GO:0005886,C:plasma membrane,0.7,,,,204-220;451-470,,
KAI7837691.1,GO:0009507,C:chloroplast,1.0,,,,,,
KAI7837692.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7837696.1,GO:0005886,C:plasma membrane,0.84,,,,23-49;90-116;125-149;168-190;209-228;237-257;263-282;395-419,,
KAI7837698.1,GO:0009535,C:chloroplast thylakoid membrane,0.76,,,1-51,89-114;124-146;204-227,,
KAI7837704.1,GO:0012505,C:endomembrane system,0.91,1-22,,,195-221;231-254;259-285,,
KAI7837708.1,GO:0009507,C:chloroplast,1.0,,,,,,
KAI7837710.1,GO:0005615,C:extracellular space,0.65,,,,,,
KAI7837736.1,GO:0012505,C:endomembrane system,0.88,,,,8-22,,
KAI7837746.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7837750.1,GO:0009507,C:chloroplast,1.0,,,,,,
KAI7837751.1,GO:0009535,C:chloroplast thylakoid membrane,0.61,,,1-40,175-186,,
KAI7837757.1,GO:0012505,C:endomembrane system,0.77,,,,127-144;310-321;346-363,,
KAI7837766.1,GO:0005737,C:cytoplasm,1.0,,,,,,
KAI7837786.1,GO:0009707,C:chloroplast outer membrane,0.77,,,1-29,261-278,,
KAI7837806.1,GO:0009707,C:chloroplast outer membrane,0.85,,,1-53,103-118,,
KAI7837822.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7837823.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7837861.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7837864.1,GO:0012505,C:endomembrane system,0.59,,,,77-101;116-139;158-186;210-235;237-263;319-346,,
KAI7837868.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7837884.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7837900.1,GO:0005737,C:cytoplasm,0.83,,,,,,
KAI7837903.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7837904.1,GO:0005739,C:mitochondrion,0.81,,1-40,,,,
KAI7837906.1,GO:0005739,C:mitochondrion,0.79,,1-25,,,,
KAI7837907.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7837908.1,GO:0009707,C:chloroplast outer membrane,0.78,,,1-21,62-78,,
KAI7837914.1,GO:0009507,C:chloroplast,0.92,,,,,,
KAI7837924.1,GO:0005739,C:mitochondrion,0.95,,1-52,,,,
KAI7837925.1,GO:0005739,C:mitochondrion,0.95,,1-52,,,,
KAI7837926.1,GO:0005615,C:extracellular space,1.0,1-23,,,,,
KAI7837927.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7837932.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7837934.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7837938.1,GO:0005886,C:plasma membrane,0.88,,,,511-525;582-607;614-637;653-673;858-884;892-917;923-947;953-974;985-1006,,
KAI7837939.1,GO:0005886,C:plasma membrane,0.87,,,,174-189;213-227,,
KAI7837950.1,GO:0005886,C:plasma membrane,0.95,,,,533-558;724-740;769-784,,
KAI7837951.1,GO:0005886,C:plasma membrane,0.82,,,,506-531;697-713;742-757,,
KAI7837952.1,GO:0009707,C:chloroplast outer membrane,0.66,,,1-58,273-295,,
KAI7837953.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7837955.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7837959.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7837964.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7837968.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7837973.1,GO:0009707,C:chloroplast outer membrane,0.72,,,1-37,278-289,,
KAI7837976.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7837982.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7837984.1,GO:0005739,C:mitochondrion,0.62,,1-49,,,,
KAI7837988.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7837992.1,GO:0031090,C:organelle membrane,0.86,,,,119-145;147-158;212-223,,
KAI7837993.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7837997.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7838001.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7838006.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7838007.1,GO:0005886,C:plasma membrane,0.95,,,,323-345;362-389;397-419;435-457;589-616;634-667;1101-1134;1144-1165,,
KAI7838009.1,GO:0031966,C:mitochondrial membrane,0.67,,1-31,,80-105;245-265,,
KAI7838012.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7838013.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7838019.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7838025.1,GO:0012505,C:endomembrane system,0.95,,,,238-249,,
KAI7838029.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7838033.1,GO:0009507,C:chloroplast,1.0,,,,,,
KAI7838041.1,GO:0031966,C:mitochondrial membrane,0.67,,1-25,,253-264,,
KAI7838044.1,GO:0005886,C:plasma membrane,0.86,,,,13-41;63-88;109-127;134-157;183-207;219-245;264-291;303-328;460-483;485-509;520-546,,
KAI7838048.1,GO:0012505,C:endomembrane system,0.29,,,,53-64;83-99,,
KAI7838052.1,GO:0005615,C:extracellular space,1.0,1-18,,,,,
KAI7838053.1,GO:0005615,C:extracellular space,1.0,1-18,,,,,
KAI7838068.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7838071.1,GO:0005615,C:extracellular space,0.7,,,,,,
KAI7838088.1,GO:0005739,C:mitochondrion,0.93,,1-44,,,,
KAI7838108.1,GO:0031090,C:organelle membrane,0.97,,,,9-26;102-120;208-226;273-296,,
KAI7838111.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7838112.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7838123.1,GO:0031090,C:organelle membrane,0.99,,,,294-310;338-362;452-472,,
KAI7838140.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7838142.1,GO:0005737,C:cytoplasm,0.96,,,,,,
KAI7838151.1,GO:0009535,C:chloroplast thylakoid membrane,0.81,,,1-28,30-45,,
KAI7838164.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7838168.1,GO:0005739,C:mitochondrion,0.84,,1-21,,,,
KAI7838169.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7838170.1,GO:0012505,C:endomembrane system,0.99,,,,10-34;467-499;729-750;757-772;780-799;810-830;854-881;907-941;950-971,,
KAI7838183.1,GO:0009507,C:chloroplast,1.0,,,,,,
KAI7838186.1,GO:0005886,C:plasma membrane,0.9,1-31,,,342-360;710-733;943-957;986-1001,,
KAI7838188.1,GO:0005886,C:plasma membrane,0.66,,,,733-751;1122-1136;1249-1260,,
KAI7838189.1,GO:0005739,C:mitochondrion,0.87,,1-57,,,,
KAI7838192.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7838215.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7838226.1,GO:0012505,C:endomembrane system,0.91,,,,34-59;69-86;101-125;143-167;181-204;223-242;256-279,,
KAI7838236.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7838237.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7838249.1,GO:0005886,C:plasma membrane,0.93,,,,65-80;113-126;168-195;202-223;227-257;261-275;284-309;359-375;452-477,,
KAI7838259.1,GO:0005615,C:extracellular space,0.73,,,,,,
KAI7838260.1,GO:0031090,C:organelle membrane,0.85,,,,77-88;266-287;306-330;501-520,,
KAI7838261.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7838262.1,GO:0046658,C:anchored component of plasma membrane,1.0,1-20,,,,,550-550
KAI7838273.1,GO:0031090,C:organelle membrane,0.44,,,,87-98;332-343,,
KAI7838277.1,GO:0005737,C:cytoplasm,1.0,,,,,,
KAI7838280.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7838288.1,GO:0031090,C:organelle membrane,0.73,,,,10-34,,
KAI7838295.1,GO:0009707,C:chloroplast outer membrane,0.86,,,1-38,133-147,,
KAI7838296.1,GO:0005886,C:plasma membrane,0.82,1-24,,,495-517;741-755;784-799,,
KAI7838303.1,GO:0005739,C:mitochondrion,0.87,,1-50,,,,
KAI7838304.1,GO:0005739,C:mitochondrion,0.87,,1-50,,,,
KAI7838314.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7838318.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7838327.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7838339.1,GO:0005886,C:plasma membrane,0.76,,,,14-38;46-68;97-122;143-161;167-191;204-222;235-260;278-306;322-344;349-373;385-412,,
KAI7838360.1,GO:0046658,C:anchored component of plasma membrane,1.0,1-20,,,874-885;1053-1077,,1184-1184
KAI7838367.1,GO:0031090,C:organelle membrane,0.6,,,,307-322;355-366,,
KAI7838389.1,GO:0012505,C:endomembrane system,0.87,,,,32-60;68-93;114-137;167-192;217-241;268-291,,
KAI7838390.1,GO:0031090,C:organelle membrane,0.97,,,,280-306,,
KAI7838404.1,GO:0012505,C:endomembrane system,0.97,,,,3-23;31-60;86-106;138-154;169-192;233-254;267-287;303-335;357-378;384-406,,
KAI7838407.1,GO:0031090,C:organelle membrane,0.86,,,,74-92,,
KAI7838412.1,GO:0005615,C:extracellular space,0.83,1-21,,,,,
KAI7838414.1,GO:0012505,C:endomembrane system,0.75,,,,42-53,,
KAI7838435.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7838452.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7838456.1,GO:0031090,C:organelle membrane,0.75,,,,301-312;314-325;562-580,,
KAI7838464.1,GO:0005886,C:plasma membrane,1.0,,,,382-416;428-455;461-484;490-513;564-588;1098-1110;1118-1141;1278-1311;1322-1349;1359-1382;1390-1416;1442-1455;1532-1563,,
KAI7838470.1,GO:0031090,C:organelle membrane,0.84,,,,211-222;342-353,,
KAI7838476.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7838478.1,GO:0005886,C:plasma membrane,0.61,1-20,,,337-353;494-516;638-656,,
KAI7838483.1,GO:0005615,C:extracellular space,0.9,1-16,,,,,
KAI7838491.1,GO:0031966,C:mitochondrial membrane,0.64,,1-35,,136-152;285-296,,
KAI7838506.1,GO:0031090,C:organelle membrane,0.99,,,,3-19;25-43,,
KAI7838515.1,GO:0005886,C:plasma membrane,0.68,,,,472-488,,
KAI7838520.1,GO:0005615,C:extracellular space,0.82,1-28,,,,,
KAI7838526.1,GO:0005739,C:mitochondrion,0.82,,1-49,,,,
KAI7838527.1,GO:0009507,C:chloroplast,1.0,,,,,,
KAI7838529.1,GO:0009535,C:chloroplast thylakoid membrane,0.84,,,1-48,231-248,,
KAI7838534.1,GO:0012505,C:endomembrane system,0.94,1-19,,,87-110;119-141;145-176;181-197;254-276;290-318;330-353;399-422;447-470,,
KAI7838536.1,GO:0031966,C:mitochondrial membrane,0.7,,1-57,,247-268;354-373,,
KAI7838539.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7838542.1,GO:0005739,C:mitochondrion,0.92,,1-28,,,,
KAI7838547.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7838568.1,GO:0009507,C:chloroplast,0.87,,,,,,
KAI7838571.1,GO:0005615,C:extracellular space,0.92,1-25,,,,,
KAI7838580.1,GO:0005886,C:plasma membrane,0.98,,,,12-33;426-440;468-483,,
KAI7838584.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7838585.1,GO:0005615,C:extracellular space,1.0,1-18,,,,,
KAI7838586.1,GO:0005886,C:plasma membrane,0.85,,,,535-552;554-565;593-616;625-641;655-670,,
KAI7838596.1,GO:0005886,C:plasma membrane,0.9,,,,1641-1663;1682-1700;1744-1765;1787-1802,,
KAI7838597.1,GO:0009535,C:chloroplast thylakoid membrane,0.78,,,1-69,142-153;235-249;272-287,,
KAI7838599.1,GO:0005739,C:mitochondrion,0.9,,1-66,,,,
KAI7838600.1,GO:0005886,C:plasma membrane,0.99,,,,215-230,,
